"","masterid","latitude","longitude","county","COMID","geometry"
"293","106PS0279",41.33437354,-122.5272076,"Trinity",8241970,c(-122.5272076, 41.3343735400001)
"294","106PS0270",40.42829664,-123.0549572,"Trinity",8234764,c(-123.0549572, 40.42829664)
"295","108PS0290",41.02908137,-124.003963,"Humboldt",8315811,c(-124.003963, 41.02908137)
"296","114PS0289",38.7761005,-122.989837,"Sonoma",8271953,c(-122.989837, 38.7761005)
"297","105PS0275",41.55215247,-123.070142,"Siskiyou",3798357,c(-123.070142, 41.5521524700001)
"298","110PS0306",40.75210909,-124.0365401,"Humboldt",8316971,c(-124.0365401, 40.75210909)
"299","111PS0313",40.49036719,-123.9070108,"Humboldt",2705393,c(-123.9070108, 40.49036719)
"300","113PS0296",38.63143583,-123.208005,"Sonoma",8281107,c(-123.208005, 38.63143583)
"301","105PS0295",41.80984337,-122.5946448,"Siskiyou",3917062,c(-122.5946448, 41.8098433700001)
"302","106PS0307",41.23602787,-122.6654028,"Trinity",8242034,c(-122.6654028, 41.23602787)
"303","102PS0331",41.98886093,-123.1642933,"Siskiyou",23936111,c(-123.1642933, 41.98886093)
"304","114PS0344",38.5127469,-123.0766647,"Sonoma",8271035,c(-123.0766647, 38.5127469)
"305","106PS0334",40.62900838,-123.1654108,"Trinity",8232482,c(-123.1654108, 40.6290083800001)
"306","105PS0323",41.16146054,-123.1302242,"Siskiyou",8258279,c(-123.1302242, 41.1614605400001)
"307","105PS2018",41.9797,-122.38952,"Siskiyou",361429,c(-122.38952, 41.9797)
"308","111PS0322",40.36839,-123.7380967,"Humboldt",2706039,c(-123.7380967, 40.36839)
"309","114PS0373",38.58423949,-122.8771363,"Sonoma",8272399,c(-122.8771363, 38.5842394900001)
"310","105PS0299",41.7866659,-123.1280266,"Siskiyou",360413,c(-123.1280266, 41.7866659000001)
"311","114PS0405",38.45224229,-122.6775103,"Sonoma",8273269,c(-122.6775103, 38.4522422900001)
"312","103PS0345",41.72442835,-123.8935529,"Del Norte",22227960,c(-123.8935529, 41.72442835)
"313","113PS0356",39.32186053,-123.6335245,"Mendocino",2664095,c(-123.6335245, 39.32186053)
"314","106MNCAHC",40.638,-123.321,"Trinity",8232424,c(-123.321, 40.638)
"315","114MRCURX",39.06208,-123.08219,"Mendocino",8268635,c(-123.08219, 39.06208)
"316","106PTCAHC",40.49615,-123.03502,"Trinity",8234604,c(-123.03502, 40.4961500000001)
"317","111BGCAER",40.0211,-123.06052,"Trinity",8292877,c(-123.06052, 40.0211)
"318","111BBRBCC",39.69838,-122.9225,"Mendocino",8297479,c(-122.9225, 39.69838)
"319","105DLCDCC",41.57269,-123.54353,"Siskiyou",4439728,c(-123.54353, 41.5726900000001)
"320","105BVCAGC",41.61201,-123.29221,"Siskiyou",4439740,c(-123.29221, 41.6120100000001)
"321","103CDCHHR",41.78887,-124.07766,"Del Norte",22226836,c(-124.07766, 41.78887)
"322","105CLCATC",41.7349,-123.54822,"Siskiyou",4439224,c(-123.54822, 41.7349)
"323","107GWCAPC",41.36788,-124.02434,"Humboldt",8315561,c(-124.02434, 41.3678800000001)
"324","103KLCMSR",41.85532,-123.85239,"Del Norte",22227592,c(-123.85239, 41.8553200000001)
"325","107LLM101",41.32697,-124.02387,"Humboldt",8315609,c(-124.02387, 41.3269700000001)
"326","105TMCACC",41.73691,-123.54855,"Siskiyou",4439208,c(-123.54855, 41.7369100000001)
"327","111TGCAER",39.39523,-122.86543,"Lake",8308598,c(-122.86543, 39.39523)
"328","111FS0001",39.327,-122.83101,"Lake",8308998,c(-122.83101, 39.3270000000001)
"329","111FS0008",39.31933,-122.84536,"Lake",8309034,c(-122.84536, 39.31933)
"330","105FS0428",41.44105,-123.3582,"Siskiyou",8257399,c(-123.3582, 41.4410500000001)
"331","111FS0007",39.4713,-122.83364,"Lake",8308192,c(-122.83364, 39.4713)
"332","111PAL105",40.34982,-123.96426,"Humboldt",8284780,c(-123.96426, 40.3498200000001)
"333","110ECSLSF",40.67323,-124.0966,"Humboldt",8317131,c(-124.0966, 40.67323)
"334","111HSCAER",39.52461,-122.85218,"Lake",8305452,c(-122.85218, 39.5246100000001)
"335","106FS0040",40.16904,-123.02523,"Trinity",8235250,c(-123.02523, 40.1690400000001)
"336","111RSCAER",39.98777,-123.05131,"Trinity",8294601,c(-123.05131, 39.9877700000001)
"337","107RWCBHW",41.19664,-123.99636,"Humboldt",8316099,c(-123.99636, 41.1966400000001)
"338","103RDCBCC",41.9548,-124.06245,"Del Norte",22226612,c(-124.06245, 41.9548)
"339","110SMCATH",40.63848,-124.10397,"Humboldt",8317181,c(-124.10397, 40.6384800000001)
"340","105FS0425",41.35799,-123.07511,"Siskiyou",8257711,c(-123.07511, 41.35799)
"341","103STCNSR",41.8621,-123.96064,"Del Norte",22227560,c(-123.96064, 41.8621000000001)
"342","105WLCABC",41.44211,-123.34896,"Siskiyou",8257397,c(-123.34896, 41.4421100000001)
"343","111ERATRC",39.5525,-122.8613,"Lake",8305354,c(-122.8613, 39.5525000000001)
"344","111CBCAER",39.52904,-122.84832,"Lake",8305428,c(-122.84832, 39.5290400000001)
"345","105FS0416",41.61411,-123.28187,"Siskiyou",4439616,c(-123.28187, 41.61411)
"346","106HLCACC",41.01605,-123.59623,"Humboldt",8241296,c(-123.59623, 41.0160500000001)
"347","105WLKAKR",41.82608369,-123.1667009,"Siskiyou",360391,c(-123.1667009, 41.8260836900001)
"348","105FLH087",41.8124,-120.79008,"Modoc",2557175,c(-120.79008, 41.8124)
"349","106YJCENT",40.8779,-123.1249,"Trinity",8243832,c(-123.1249, 40.8779000000001)
"350","105BNGABS",41.4782,-123.5575,"Siskiyou",4440992,c(-123.5575, 41.4782000000001)
"351","111BVCMFE",39.93603,-122.98827,"Mendocino",8297229,c(-122.98827, 39.9360300000001)
"352","111CBCANF",39.5498,-122.7312,"Glenn",8305370,c(-122.7312, 39.5498000000001)
"353","113GAR046",38.85578,-123.56359,"Mendocino",2666381,c(-123.56359, 38.85578)
"354","113GAR105",38.89959,-123.39061,"Mendocino",2666269,c(-123.39061, 38.89959)
"355","109BCAMCR",40.76411253,-123.8630428,"Humboldt",8318349,c(-123.8630428, 40.76411253)
"356","102ELCABC",41.967803,-123.698208,"Del Norte",23945211,c(-123.698208, 41.9678030000001)
"357","111GCABPC",39.50481966,-123.1634749,"Mendocino",8303734,c(-123.1634749, 39.5048196600001)
"358","113HSCABC",38.65398322,-123.1742861,"Sonoma",8281047,c(-123.1742861, 38.65398322)
"359","114JSCARR",39.27477,-123.31294,"Mendocino",8268031,c(-123.31294, 39.27477)
"360","111BRCRFC",39.3205,-122.84841,"Lake",8309004,c(-122.84841, 39.3205)
"361","113BGRRRG",39.31526,-123.70791,"Mendocino",163840055,c(-123.70791, 39.3152600000001)
"362","114BSCAGS",38.82595,-122.99664,"Sonoma",8271875,c(-122.99664, 38.82595)
"363","113DNCAH1",39.79889,-123.82083,"Mendocino",2662013,c(-123.82083, 39.79889)
"364","111ELRATC",39.54028,-122.85944,"Lake",8305390,c(-122.85944, 39.5402800000001)
"365","111ELSFAB",40.12389,-123.83611,"Humboldt",8286648,c(-123.83611, 40.1238900000001)
"366","113INCANR",39.06093,-123.43896,"Mendocino",2664961,c(-123.43896, 39.06093)
"367","113LRVDSP",39.27694,-123.77933,"Mendocino",2665565,c(-123.77933, 39.27694)
"368","114MWCMWS",38.54206,-122.72017,"Sonoma",8272479,c(-122.72017, 38.54206)
"369","113MLCTMR",39.54722,-123.72528,"Mendocino",2662279,c(-123.72528, 39.54722)
"370","113NVRBIC",39.05695,-123.45266,"Mendocino",2664973,c(-123.45266, 39.05695)
"371","113NRSFBG",39.38194,-123.67167,"Mendocino",2663949,c(-123.67167, 39.38194)
"372","113RCCBBC",38.91391,-123.26415,"Mendocino",2666229,c(-123.26415, 38.91391)
"373","111RSC101",39.80306,-123.54417,"Mendocino",8287422,c(-123.54417, 39.8030600000001)
"374","111RFCBBC",39.32615,-122.87057,"Lake",8308986,c(-122.87057, 39.32615)
"375","114RREFCC",39.25139,-123.11833,"Mendocino",8268071,c(-123.11833, 39.2513900000001)
"376","114SRCH12",38.46148,-122.66083,"Sonoma",8273233,c(-122.66083, 38.4614800000001)
"377","111TKCAER",39.42398,-123.14334,"Mendocino",8307018,c(-123.14334, 39.42398)
"378","111TTCAER",39.37753,-123.06525,"Mendocino",8307148,c(-123.06525, 39.37753)
"379","114UNCSRC",38.44808,-122.62448,"Sonoma",8273633,c(-122.62448, 38.4480800000001)
"380","113GAR045",38.9443,-123.709,"Mendocino",2666093,c(-123.709, 38.9443000000001)
"381","113GAR021",38.90958,-123.41031,"Mendocino",2666269,c(-123.41031, 38.9095800000001)
"382","113GAR109",38.94328,-123.71913,"Mendocino",2666085,c(-123.71913, 38.9432800000001)
"383","113GAR085",38.90739,-123.40151,"Mendocino",2666269,c(-123.40151, 38.9073900000001)
"384","113GAR089",38.90824,-123.35092,"Mendocino",2666257,c(-123.35092, 38.90824)
"385","113GAR245",38.89878,-123.35432,"Mendocino",2666293,c(-123.35432, 38.89878)
"386","113GAR217",38.92393,-123.33533,"Mendocino",2666211,c(-123.33533, 38.92393)
"387","113GAR112",38.92488,-123.49069,"Mendocino",2666835,c(-123.49069, 38.92488)
"388","113GAR061",38.88397,-123.59201,"Mendocino",2666303,c(-123.59201, 38.88397)
"389","113GAR030",38.8702,-123.56669,"Mendocino",2666381,c(-123.56669, 38.8702000000001)
"390","113GAR062",38.85961,-123.54843,"Mendocino",2666375,c(-123.54843, 38.85961)
"391","113GAR038",38.83908,-123.53457,"Mendocino",2666409,c(-123.53457, 38.83908)
"392","113GAR010",38.83737,-123.54644,"Mendocino",2666411,c(-123.54644, 38.8373700000001)
"393","113GAR110",38.8553,-123.56022,"Mendocino",2666405,c(-123.56022, 38.8553000000001)
"394","113GAR087",38.90814,-123.48965,"Mendocino",2666243,c(-123.48965, 38.9081400000001)
"395","113GAR084",38.92636,-123.62885,"Mendocino",2666145,c(-123.62885, 38.92636)
"396","113GAR094",38.86295,-123.56825,"Mendocino",2666381,c(-123.56825, 38.8629500000001)
"397","113GAR244",38.93172,-123.59238,"Mendocino",2666155,c(-123.59238, 38.93172)
"398","113GAR118",38.84264,-123.54917,"Mendocino",2666405,c(-123.54917, 38.8426400000001)
"399","113GAR015",38.89312,-123.50885,"Mendocino",2666843,c(-123.50885, 38.8931200000001)
"400","113GAR011",38.89138,-123.45586,"Mendocino",2666309,c(-123.45586, 38.89138)
"401","113GAR178",38.87489,-123.49376,"Mendocino",2666337,c(-123.49376, 38.8748900000001)
"402","113GAR042",38.874568,-123.524799,"Mendocino",2666345,c(-123.524799, 38.8745680000001)
"403","113GAR023",38.90736,-123.48229,"Mendocino",2666273,c(-123.48229, 38.90736)
"404","114ACR1xx",38.60556,-122.97917,"Sonoma",8272391,c(-122.97917, 38.60556)
"405","114FCR2xx",38.58139,-122.88258,"Sonoma",8272399,c(-122.88258, 38.5813900000001)
"406","114FCR3xx",38.581,-122.88276,"Sonoma",8272399,c(-122.88276, 38.5810000000001)
"407","114FCR4xx",38.58085,-122.88326,"Sonoma",8272399,c(-122.88326, 38.5808500000001)
"408","114MWCR1x",38.4939,-122.88979,"Sonoma",8273161,c(-122.88979, 38.4939000000001)
"409","114MWCR4x",38.49346,-122.88923,"Sonoma",8273161,c(-122.88923, 38.49346)
"410","114MWCR5x",38.49317,-122.88892,"Sonoma",8273161,c(-122.88892, 38.4931700000001)
"411","114MWCR6x",38.49278,-122.88874,"Sonoma",8273161,c(-122.88874, 38.49278)
"412","114MCR1xx",38.58492,-122.87572,"Sonoma",8272399,c(-122.87572, 38.5849200000001)
"413","114MCR2xx",38.584,-122.88736,"Sonoma",8272401,c(-122.88736, 38.5840000000001)
"414","114MCR3xx",38.59473,-122.91599,"Sonoma",8272373,c(-122.91599, 38.59473)
"415","114MCR4xx",38.58925,-122.95483,"Sonoma",8272391,c(-122.95483, 38.58925)
"416","114MCR8xx",38.59434,-122.91674,"Sonoma",8272373,c(-122.91674, 38.59434)
"417","114PCR1xx",38.57867,-122.94258,"Sonoma",8272409,c(-122.94258, 38.57867)
"418","114PCR2xx",38.57367,-122.95706,"Sonoma",8272409,c(-122.95706, 38.57367)
"419","114WLCR1x",38.59883,-122.91925,"Sonoma",8272347,c(-122.91925, 38.5988300000001)
"420","114WICR1x",38.43589,-123.08511,"Sonoma",8272789,c(-123.08511, 38.43589)
"421","114EACR6x",38.5923,-123.0627,"Sonoma",8270945,c(-123.0627, 38.5923000000001)
"422","114WICR2x",38.42906,-123.06183,"Sonoma",8272789,c(-123.06183, 38.42906)
"423","114WICR3x",38.42297,-123.04847,"Sonoma",8272789,c(-123.04847, 38.4229700000001)
"424","114WICR4x",38.41831,-123.01272,"Sonoma",8272785,c(-123.01272, 38.4183100000001)
"425","114BSCLRx",38.82408,-122.98706,"Sonoma",8271885,c(-122.98706, 38.82408)
"426","114EACR4x",38.55953,-123.05517,"Sonoma",8270979,c(-123.05517, 38.5595300000001)
"427","114BRCR1x",38.69458,-122.73336,"Sonoma",8272133,c(-122.73336, 38.69458)
"428","114BRCR3x",38.69817,-122.72928,"Sonoma",8272133,c(-122.72928, 38.6981700000001)
"429","114BPCR1x",38.57897,-123.11828,"Sonoma",8270959,c(-123.11828, 38.57897)
"430","114BPCR2x",38.58103,-123.13,"Sonoma",8270959,c(-123.13, 38.5810300000001)
"431","114BJCR1x",38.53506,-123.13433,"Sonoma",8271009,c(-123.13433, 38.53506)
"432","114BCR1xx",38.6783,-122.7272,"Sonoma",8272163,c(-122.7272, 38.6783)
"433","114BCR2xx",38.6817,-122.6899,"Sonoma",8272159,c(-122.6899, 38.6817)
"434","114CCR1xx",38.67894,-122.71206,"Sonoma",8272155,c(-122.71206, 38.6789400000001)
"435","114CCR2xx",38.68261,-122.70678,"Sonoma",8272155,c(-122.70678, 38.6826100000001)
"436","114DVCR1x",38.59747,-123.07792,"Sonoma",8270933,c(-123.07792, 38.59747)
"437","114GCR3xx",38.5644,-123.044,"Sonoma",8270975,c(-123.044, 38.5644)
"438","114LBCR2x",38.6857,-122.7196,"Sonoma",8272149,c(-122.7196, 38.6857000000001)
"439","114SCR1xx",38.45628,-123.09022,"Sonoma",8272773,c(-123.09022, 38.45628)
"440","114SCR2xx",38.44944,-123.08944,"Sonoma",8276513,c(-123.08944, 38.44944)
"441","114SUCR1x",38.61869,-123.08881,"Sonoma",8270895,c(-123.08881, 38.6186900000001)
"442","114TCRxxx",38.57083,-123.035,"Sonoma",8270963,c(-123.035, 38.5708300000001)
"443","114WDCR5x",38.5365,-123.13769,"Sonoma",8271007,c(-123.13769, 38.5365)
"444","114DBCR1x",38.4428,-122.9916,"Sonoma",8273257,c(-122.9916, 38.4428)
"445","114DBCR4x",38.4441,-122.9775,"Sonoma",8273253,c(-122.9775, 38.4441)
"446","114DBCR7x",38.4184,-122.95,"Sonoma",8273301,c(-122.95, 38.4184000000001)
"447","114RRWCLR",38.66559,-122.95053,"Sonoma",8272197,c(-122.95053, 38.6655900000001)
"448","114RRWCUR",38.66304,-122.95647,"Sonoma",8272197,c(-122.95647, 38.6630400000001)
"449","114BSCURx",38.78567,-122.77731,"Sonoma",8272593,c(-122.77731, 38.78567)
"450","114DLCLRx",39.13153,-123.211,"Mendocino",8268455,c(-123.211, 39.1315300000001)
"451","114DLCMRx",39.12817,-123.22369,"Mendocino",8268463,c(-123.22369, 39.1281700000001)
"452","114DLCURx",39.12889,-123.23028,"Mendocino",8268463,c(-123.23028, 39.1288900000001)
"453","114DCLRxx",38.95536,-123.14761,"Mendocino",8270487,c(-123.14761, 38.95536)
"454","114DCURxx",38.95381,-123.14825,"Mendocino",8270515,c(-123.14825, 38.95381)
"455","114FCASCx",38.82916,-122.91117,"Sonoma",8271871,c(-122.91117, 38.8291600000001)
"456","114FCT1xx",38.82914,-122.91639,"Sonoma",8271871,c(-122.91639, 38.8291400000001)
"457","114FCT2xx",38.83367,-122.92325,"Sonoma",8271871,c(-122.92325, 38.83367)
"458","114GBCLRx",39.15075,-123.21619,"Mendocino",8268421,c(-123.21619, 39.1507500000001)
"459","114GBCURx",39.14972,-123.22889,"Mendocino",8268403,c(-123.22889, 39.1497200000001)
"460","114HCASCx",38.821,-122.95419,"Sonoma",8271881,c(-122.95419, 38.821)
"461","114JCADCx",38.9625,-123.15083,"Mendocino",8270485,c(-123.15083, 38.9625)
"462","114JVCLRx",38.40108,-122.86244,"Sonoma",8273317,c(-122.86244, 38.40108)
"463","114JVCURx",38.37972,-122.89056,"Sonoma",8273361,c(-122.89056, 38.3797200000001)
"464","114KDCLRx",38.49813,-123.07328,"Sonoma",8272765,c(-123.07328, 38.4981300000001)
"465","114KDCURx",38.50092,-123.08764,"Sonoma",8271047,c(-123.08764, 38.5009200000001)
"466","114MPCLRx",39.32975,-123.23339,"Mendocino",8267775,c(-123.23339, 39.32975)
"467","114MPCURx",39.33444,-123.23583,"Mendocino",8267775,c(-123.23583, 39.33444)
"468","114MLCLRx",39.13142,-123.15542,"Mendocino",8268451,c(-123.15542, 39.13142)
"469","114MLCURx",39.13111,-123.13444,"Mendocino",8268459,c(-123.13444, 39.13111)
"470","114MLCNFL",39.13214,-123.15267,"Mendocino",8268449,c(-123.15267, 39.13214)
"471","114MLCNFU",39.13778,-123.13417,"Mendocino",8268443,c(-123.13417, 39.1377800000001)
"472","114MRCMRx",39.06608,-123.12056,"Mendocino",8268617,c(-123.12056, 39.0660800000001)
"473","114MJCAWR",38.51478,-122.90522,"Sonoma",8272523,c(-122.90522, 38.51478)
"474","114OVCOVx",38.83514,-123.05125,"Sonoma",8270671,c(-123.05125, 38.83514)
"475","114PCLRxx",38.90344,-123.01836,"Mendocino",8270597,c(-123.01836, 38.90344)
"476","114RWCAJC",38.39361,-122.88827,"Sonoma",8273335,c(-122.88827, 38.3936100000001)
"477","115SMCFCx",38.36111,-123.02861,"Sonoma",3879564,c(-123.02861, 38.3611100000001)
"478","114SHCLRx",39.25644,-123.19969,"Mendocino",8268059,c(-123.19969, 39.2564400000001)
"479","114SHCNFx",39.26014,-123.19775,"Mendocino",8268049,c(-123.19775, 39.26014)
"480","114SHCURx",39.25664,-123.19406,"Mendocino",8268051,c(-123.19406, 39.2566400000001)
"481","114STCAJC",38.38389,-122.87528,"Sonoma",8273339,c(-122.87528, 38.3838900000001)
"482","114SQCLRx",38.82467,-122.87636,"Sonoma",8271873,c(-122.87636, 38.82467)
"483","114SQCURx",38.818,-122.80067,"Sonoma",8271879,c(-122.80067, 38.818)
"484","114YCLRxx",39.20253,-123.20269,"Mendocino",8268215,c(-123.20269, 39.20253)
"485","114YCMRxx",39.22056,-123.23056,"Mendocino",8268189,c(-123.23056, 39.22056)
"486","114YCURxx",39.23444,-123.28139,"Mendocino",8268103,c(-123.28139, 39.2344400000001)
"487","114MW8213",38.50709,-122.64294,"Sonoma",8272525,c(-122.64294, 38.5070900000001)
"488","114MW8747",38.52074,-122.62527,"Sonoma",8272511,c(-122.62527, 38.52074)
"489","114AU7778",38.58703,-123.11811,"Sonoma",8271487,c(-123.11811, 38.58703)
"490","115EBAG01",38.3462,-122.91565,"Sonoma",3879996,c(-122.91565, 38.3462000000001)
"491","114MA2364",38.63048,-122.76788,"Sonoma",8272313,c(-122.76788, 38.63048)
"492","113RG8046",38.47575,-123.15189,"Sonoma",8281847,c(-123.15189, 38.4757500000001)
"493","115SALG01",38.34327,-122.95891,"Sonoma",3879994,c(-122.95891, 38.3432700000001)
"494","114GV5331",38.44469,-122.88773,"Sonoma",8273271,c(-122.88773, 38.44469)
"495","114GV3469",38.46384,-122.90424,"Sonoma",8273219,c(-122.90424, 38.4638400000001)
"496","115SC6093",38.35614,-122.9263,"Sonoma",3880284,c(-122.9263, 38.35614)
"497","106CE0377",40.62472,-123.44166,"Trinity",8232498,c(-123.44166, 40.62472)
"498","105CE0381",41.71694,-122.35111,"Siskiyou",3917952,c(-122.35111, 41.7169400000001)
"499","110CE0325",40.76444,-124.06472,"Humboldt",8316929,c(-124.06472, 40.76444)
"500","BA-6",39.41938162,-123.3406429,"Mendocino",8307024,c(-123.3406429, 39.41938162)
"501","BA-12",39.4292247,-123.3564434,"Mendocino",8306962,c(-123.3564434, 39.4292247000001)
"502","105WLC135",41.89911,-121.04438,"Modoc",2556363,c(-121.04438, 41.8991100000001)
"503","105NWC151",41.91713,-120.88105,"Modoc",2557039,c(-120.88105, 41.91713)
"504","BA-13",39.43080821,-123.3549204,"Mendocino",8306962,c(-123.3549204, 39.4308082100001)
"505","BA-24",39.4420377,-123.3286456,"Mendocino",8307534,c(-123.3286456, 39.4420377000001)
"506","BA-22",39.43280059,-123.328449,"Mendocino",8307534,c(-123.328449, 39.4328005900001)
"507","BA-21",39.44864146,-123.3410598,"Mendocino",8307582,c(-123.3410598, 39.44864146)
"508","BA-20",39.43674368,-123.3362639,"Mendocino",8306926,c(-123.3362639, 39.4367436800001)
"509","BA-19",39.42602439,-123.3310253,"Mendocino",8307058,c(-123.3310253, 39.4260243900001)
"510","BA-18",39.44862951,-123.3474611,"Mendocino",8306884,c(-123.3474611, 39.44862951)
"511","BA-16",39.43190598,-123.3529277,"Mendocino",8306958,c(-123.3529277, 39.4319059800001)
"512","BA-15",39.44176456,-123.3458369,"Mendocino",8306898,c(-123.3458369, 39.44176456)
"513","BA-14",39.43480281,-123.3457869,"Mendocino",8307584,c(-123.3457869, 39.4348028100001)
"514","BA-1",39.37534213,-123.3216188,"Mendocino",8307150,c(-123.3216188, 39.37534213)
"515","114WNMDxx",38.66514,-122.9509,"Sonoma",8272197,c(-122.9509, 38.6651400000001)
"516","105FCA068",41.84335,-122.89971,"Siskiyou",362143,c(-122.89971, 41.84335)
"517","105FCA132",41.95472,-122.66083,"Siskiyou",361533,c(-122.66083, 41.9547200000001)
"518","106FCA036",40.80167,-122.92944,"Trinity",8245680,c(-122.92944, 40.8016700000001)
"519","111CR0911",40.3096,-123.7626,"Humbolt",2708695,c(-123.7626, 40.3096)
"520","105CR0913",41.844,-122.8934,"Siskiyou",362143,c(-122.8934, 41.8440000000001)
